City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ihosy,-22.4,46.1167,79.05,20,4,3.47,MG,1659790198
estelle,29.8458,-90.1067,82.38,85,0,1.99,US,1659790199
eureka,40.8021,-124.1637,61.2,90,62,1.01,US,1659790199
paciran,-6.8767,112.3761,79.81,72,92,2.21,ID,1659790200
kyaukse,21.6,96.1333,86.05,63,53,5.48,MM,1659790201
wamba,8.9333,8.6,81.23,70,94,4.72,NG,1659790202
alpena,45.0617,-83.4327,78.19,91,0,1.01,US,1659790165
andenes,69.3143,16.1194,59.94,67,0,13.8,NO,1659790203
khandyga,62.6667,135.6,64.76,67,100,1.28,RU,1659790204
sinnamary,5.3833,-52.95,82.78,67,8,7.29,GF,1659790205
fukue,32.6881,128.8419,82.85,86,3,7.58,JP,1659790206
lieksa,63.3167,30.0167,69.8,84,100,14.18,FI,1659790207
luanda,-8.8368,13.2343,71.24,71,2,12.91,AO,1659790145
analipsis,35.3167,25.5667,86.41,61,0,14.32,GR,1659790208
chimbote,-9.0853,-78.5783,62.2,84,97,6.55,PE,1659790209
cartagena del chaira,1.3349,-74.8429,70.2,99,100,1.72,CO,1659790210
nishihara,26.1842,127.7558,83.48,82,75,5.75,JP,1659790211
peoria,40.7667,-89.7668,77.86,93,0,3.44,US,1659790212
faanui,-16.4833,-151.75,77.23,78,49,24.2,PF,1659790212
kapit,2.0167,112.9333,74.91,96,100,0.83,MY,1659790213
santiago,-33.4569,-70.6483,50.85,85,75,3.44,CL,1659789957
kaseda,31.4167,130.3167,82.67,84,10,3.91,JP,1659790215
portland,45.5234,-122.6762,60.94,85,0,5.75,US,1659790030
morada nova,-5.1067,-38.3725,85.01,44,11,9.73,BR,1659790216
marzuq,14.4,46.4667,90.54,35,87,6.69,YE,1659790217
osakarovka,50.565,72.5692,75.67,29,100,13.96,KZ,1659790218
mafra,-26.1114,-49.8053,58.78,69,72,4.99,BR,1659790219
vila franca do campo,37.7167,-25.4333,75.61,76,49,10.16,PT,1659790220
asau,46.4333,26.4,83.32,48,100,4.68,RO,1659790220
port hedland,-20.3167,118.5667,62.65,72,0,5.75,AU,1659790221
okitipupa,6.5047,4.7839,83.34,61,95,6.31,NG,1659790222
yulin,22.6333,110.15,78.21,91,100,3.67,CN,1659790223
ust-maya,60.4167,134.5333,61.11,70,85,14.12,RU,1659790224
rocha,-34.4833,-54.3333,49.8,64,100,1.45,UY,1659790225
garissa,-0.4536,39.6401,89.85,29,80,22.21,KE,1659790226
byron bay,-28.65,153.6167,55.36,60,0,11.16,AU,1659790201
durango,24.8333,-104.8333,61.84,69,9,1.74,MX,1659789985
tarko-sale,64.9225,77.785,68.0,64,78,13.06,RU,1659790228
greenwood,34.1668,-82.1165,78.28,57,75,0.0,US,1659790001
kempele,64.9131,25.5034,66.22,94,100,6.91,FI,1659790230
bryansk,53.2875,34.3806,86.56,45,0,8.95,RU,1659790230
mount gambier,-37.8333,140.7667,45.93,94,76,6.44,AU,1659790231
bilibino,68.0546,166.4372,45.19,73,80,2.57,RU,1659790232
tessalit,20.1986,1.0114,103.8,20,58,10.42,ML,1659790233
bathsheba,13.2167,-59.5167,84.06,92,40,16.11,BB,1659790234
eregli,37.5133,34.0467,96.91,17,0,11.21,TR,1659790235
nyurba,63.2842,118.3319,51.17,85,100,4.92,RU,1659790235
mount isa,-20.7333,139.5,67.77,24,75,11.5,AU,1659790236
coihaique,-45.5752,-72.0662,32.61,86,75,3.44,CL,1659790089
abay,49.6311,72.8539,75.58,24,15,16.24,KZ,1659790238
areosa,41.7178,-8.8571,73.47,71,9,5.93,PT,1659790239
puerto leguizamo,-0.1934,-74.7819,72.7,92,97,2.3,CO,1659790239
njombe,-9.3333,34.7667,67.64,38,84,9.8,TZ,1659790240
shimoda,34.6667,138.95,75.11,87,78,5.77,JP,1659790241
troitsko-pechorsk,62.7084,56.1964,83.64,42,99,2.51,RU,1659790242
bubaque,11.2833,-15.8333,80.26,77,100,7.31,GW,1659790243
vitim,59.4511,112.5578,51.35,92,96,4.56,RU,1659790243
altay,47.8667,88.1167,76.59,29,26,8.72,CN,1659790244
san ramon,37.7799,-121.978,63.28,84,100,9.22,US,1659790245
yerbogachen,61.2767,108.0108,47.89,95,100,8.75,RU,1659790246
belmonte,-15.8631,-38.8828,78.84,58,10,5.75,BR,1659790247
muti,7.2758,122.28,76.73,84,100,2.55,PH,1659790248
naryan-mar,67.6713,53.087,82.22,47,68,15.1,RU,1659790248
mehamn,71.0357,27.8492,62.55,42,20,10.36,NO,1659790249
saint-francois,46.4154,3.9054,84.67,34,0,6.91,FR,1659790250
kavaratti,10.5669,72.642,80.31,86,44,21.39,IN,1659790251
klaksvik,62.2266,-6.589,52.72,98,100,20.29,FO,1659790252
londa,15.4691,74.5191,72.73,98,100,11.12,IN,1659790252
beatrice,40.2681,-96.747,80.69,69,0,10.36,US,1659790253
ambunti,-4.2365,142.8448,74.88,90,98,2.59,PG,1659790254
ryotsu,38.0833,138.4333,79.0,85,11,3.29,JP,1659790255
bereda,43.2686,-7.5406,78.13,49,84,7.45,ES,1659790256
cockburn town,21.4612,-71.1419,82.36,69,40,11.5,TC,1659790257
mezen,65.8522,44.24,85.32,39,0,10.54,RU,1659790257
den helder,52.9599,4.7593,70.99,56,100,10.0,NL,1659790022
bela,25.9333,81.9833,91.29,57,100,2.42,IN,1659790259
ostrovnoy,68.0531,39.5131,73.4,62,100,23.0,RU,1659790260
bitung,1.4451,125.1824,77.85,86,100,10.29,ID,1659790261
ampanihy,-24.7,44.75,77.83,40,16,12.91,MG,1659790262
caetite,-14.0694,-42.475,78.12,47,5,10.16,BR,1659790263
gariadhar,21.5333,71.5833,86.16,72,21,6.13,IN,1659790265
champerico,14.3,-91.9167,75.74,86,83,2.98,GT,1659790265
brae,60.3964,-1.353,52.68,93,100,14.41,GB,1659790266
katangli,51.7102,143.2326,53.76,98,100,15.14,RU,1659790267
northam,51.0333,-4.2167,69.66,47,21,11.83,GB,1659790268
sao filipe,14.8961,-24.4956,77.85,80,90,4.29,CV,1659790269
okhotsk,59.3833,143.3,56.32,92,100,16.44,RU,1659790269
magistralnyy,56.1725,107.4458,51.12,92,100,7.67,RU,1659790270
westport,41.1415,-73.3579,83.98,86,0,9.22,US,1659790271
rexburg,43.826,-111.7897,63.91,88,100,0.0,US,1659790023
meulaboh,4.1363,96.1285,79.81,73,88,0.16,ID,1659790272
khilok,51.3674,110.4676,51.19,64,37,8.84,RU,1659790273
ajdabiya,30.7554,20.2263,88.07,42,0,16.22,LY,1659790274
margate,51.3813,1.3862,72.1,59,6,5.99,GB,1659790275
sosnovo-ozerskoye,52.5249,111.5418,46.54,69,8,11.03,RU,1659790276
uhlove,44.8215,33.6045,81.37,60,20,13.53,UA,1659790277
leh,34.1667,77.5833,71.19,38,67,7.61,IN,1659790277
yarmouth,41.7057,-70.2286,82.96,85,20,11.5,US,1659790278
erzin,36.9559,36.2,87.89,60,0,11.56,TR,1659790279
daru,-9.0763,143.2092,77.65,91,61,11.77,PG,1659790280
bandarbeyla,9.4942,50.8122,84.58,57,100,29.66,SO,1659790281
khor,47.8861,134.9464,70.97,82,100,2.64,RU,1659790281
rosarito,32.3333,-117.0333,68.95,86,29,9.04,MX,1659790282
praia da vitoria,38.7333,-27.0667,74.75,100,75,16.91,PT,1659790283
porto novo,6.4965,2.6036,80.42,63,76,11.43,BJ,1659790284
shache,38.4167,77.2406,71.71,56,97,10.49,CN,1659790285
angoche,-16.2325,39.9086,77.56,61,0,11.32,MZ,1659790286
taywarah,33.35,64.4167,78.67,11,2,5.14,AF,1659790287
yeppoon,-23.1333,150.7333,64.18,94,2,4.45,AU,1659790288
aykhal,66.0,111.5,46.27,93,100,24.87,RU,1659790289
kulhudhuffushi,6.6221,73.07,80.49,85,56,17.54,MV,1659790289
yokadouma,3.5167,15.05,82.92,61,100,3.06,CM,1659790290
chahal,15.75,-89.5667,71.4,99,100,0.89,GT,1659790291
aksehir,38.3575,31.4164,90.57,26,56,7.16,TR,1659790292
srednekolymsk,67.45,153.6833,54.95,74,100,6.58,RU,1659790293
chiesanuova,43.9045,12.4214,95.16,35,0,9.22,SM,1659790294
sungaipenuh,-2.0833,101.3833,64.22,98,37,0.29,ID,1659790294
skjervoy,70.0311,20.9714,62.6,68,6,6.64,NO,1659790295
lyngseidet,69.5763,20.2189,62.6,60,100,5.37,NO,1659790296
itaituba,-4.2761,-55.9836,82.56,83,7,0.0,BR,1659790297
thinadhoo,0.5333,72.9333,82.96,73,100,13.0,MV,1659790298
chernyshevskiy,63.0128,112.4714,47.07,97,100,7.05,RU,1659790298
sambava,-14.2667,50.1667,74.07,70,36,12.77,MG,1659790299
erdenet,49.0333,104.0833,49.46,84,87,4.81,MN,1659790300
trairi,-3.2778,-39.2689,84.47,48,6,13.44,BR,1659790053
bom jardim,-7.7958,-35.5872,77.09,66,68,11.99,BR,1659790302
banjar,-8.19,114.9675,75.65,89,100,4.85,ID,1659790303
sorland,67.667,12.6934,53.46,80,89,16.64,NO,1659790304
richards bay,-28.783,32.0377,73.0,65,55,7.16,ZA,1659790305
poum,-20.2333,164.0167,74.98,84,26,11.48,NC,1659790305
kropotkin,45.4375,40.5756,89.37,27,70,12.88,RU,1659790306
illela,13.7292,5.2975,92.35,42,83,7.27,NG,1659790307
baykit,61.67,96.37,58.23,69,100,3.2,RU,1659790308
cabadiangan,9.7531,122.4739,77.85,88,100,2.73,PH,1659790309
leon,21.1167,-101.6667,57.04,85,4,3.36,MX,1659790309
huty,50.1332,35.3439,86.88,35,0,12.88,UA,1659790310
tagusao,9.1924,117.8141,77.52,87,100,5.48,PH,1659790311
caconda,-13.7333,15.0667,83.37,11,0,8.08,AO,1659790312
brandon,27.9378,-82.2859,83.89,91,0,5.01,US,1659790151
charters towers,-20.1,146.2667,70.47,68,15,12.48,AU,1659790313
nouakchott,18.0858,-15.9785,89.53,74,55,11.7,MR,1659790233
ilfracombe,51.2093,-4.1134,69.39,58,15,6.04,GB,1659790315
berlevag,70.8578,29.0864,62.6,58,100,13.8,NO,1659790315
constitucion,-35.3333,-72.4167,52.83,96,100,9.42,CL,1659790317
nabire,-3.3667,135.4833,76.37,92,100,3.51,ID,1659790318
tongren,27.7172,109.1853,78.82,88,2,1.77,CN,1659790318
namibe,-15.1961,12.1522,68.18,72,40,11.5,AO,1659790319
warri,5.5167,5.75,83.03,64,82,9.33,NG,1659790320
karatau,43.1667,70.4667,89.38,17,12,16.64,KZ,1659790163
saravan,39.7196,45.6483,82.17,33,84,9.91,AM,1659790321
lingao,19.9103,109.6859,80.37,87,100,4.05,CN,1659790322
changchun,43.88,125.3228,78.76,85,100,6.22,CN,1659790324
twentynine palms,34.1356,-116.0542,83.07,48,0,4.23,US,1659790324
nizhniy baskunchak,48.2198,46.8311,94.21,15,51,14.92,RU,1659790325
sioux lookout,50.1001,-91.917,62.67,67,20,6.91,CA,1659790326
hofn,64.2539,-15.2082,57.22,82,100,6.91,IS,1659790327
egvekinot,66.3167,-179.1667,43.81,64,16,4.16,RU,1659790328
takoradi,4.8845,-1.7554,78.39,66,13,8.12,GH,1659790329
reo,12.3167,-2.4667,88.16,54,76,7.9,BF,1659790330
evensk,61.95,159.2333,51.58,99,100,6.04,RU,1659790331
missoula,47.0166,-113.8009,55.8,76,72,4.36,US,1659790332
bethel,41.3712,-73.414,83.01,87,100,0.0,US,1659790316
petushki,55.9264,39.461,85.12,39,6,5.12,RU,1659790333
dodoma,-6.1722,35.7395,80.46,26,48,9.15,TZ,1659790334
birao,10.2849,22.7882,82.31,74,100,4.07,CF,1659790335
aurillac,44.9167,2.45,84.02,45,0,4.61,FR,1659790336
grindavik,63.8424,-22.4338,55.35,87,100,9.22,IS,1659790336
rio pardo de minas,-15.6097,-42.5397,81.27,38,10,6.87,BR,1659790337
hualmay,-11.0964,-77.6139,60.96,85,99,6.35,PE,1659790338
maumere,-8.6199,122.2111,75.13,73,100,7.43,ID,1659790339
youkounkoun,12.5333,-13.1333,82.13,76,92,4.59,GN,1659790340
plettenberg bay,-34.0527,23.3716,60.1,77,86,7.92,ZA,1659790341
the valley,18.217,-63.0578,85.86,74,40,17.27,AI,1659790341
wenling,28.3669,121.36,79.97,79,100,6.06,CN,1659790342
santa isabel do rio negro,-0.4139,-65.0192,82.8,67,2,2.98,BR,1659790343
barranca,-10.75,-77.7667,60.82,84,100,6.33,PE,1659790344
coromandel,-18.4733,-47.2003,79.86,28,0,4.54,BR,1659790345
morondava,-20.2833,44.2833,75.79,57,0,14.56,MG,1659790345
la baule-escoublac,47.2922,-2.364,82.71,26,0,14.97,FR,1659790121
passos,-20.7189,-46.6097,79.63,30,9,6.15,BR,1659790093
grand gaube,-20.0064,57.6608,72.37,71,6,5.99,MU,1659790347
turayf,31.6725,38.6637,109.65,22,0,9.22,SA,1659790348
solnechnyy,50.7214,136.6319,65.43,97,12,2.73,RU,1659790349
brest,52.1,23.7,75.16,78,100,13.42,BY,1659790350
manacapuru,-3.2997,-60.6206,84.16,58,7,4.74,BR,1659790351
carballo,43.213,-8.691,87.91,53,36,11.27,ES,1659790352
bratsk,56.1325,101.6142,54.09,93,100,4.92,RU,1659790293
ust-tsilma,65.441,52.1498,87.15,34,8,6.76,RU,1659790353
grand baie,-20.0182,57.5802,72.45,71,4,5.99,MU,1659790354
salalah,17.0151,54.0924,77.86,91,94,9.37,OM,1659790355
dwarka,22.2394,68.9678,83.53,75,99,8.55,IN,1659790355
batemans bay,-35.7167,150.1833,46.33,78,10,4.5,AU,1659790356
denpasar,-8.65,115.2167,78.46,83,40,3.44,ID,1659790357
sucua,-2.4667,-78.1667,68.85,87,100,1.48,EC,1659790358
barillas,15.8036,-91.3158,61.99,95,42,1.57,GT,1659790359
kokkola,63.8385,23.1307,66.36,76,20,17.27,FI,1659790359
ulladulla,-35.35,150.4667,50.36,71,10,8.03,AU,1659790361
laguna,38.421,-121.4238,64.4,84,0,9.22,US,1659790362
siauliai,55.9333,23.3167,62.62,82,40,5.75,LT,1659790362
noumea,-22.2763,166.4572,75.99,99,49,5.21,NC,1659790363
wajima,37.4,136.9,79.93,83,9,6.26,JP,1659790364
saint paul,44.9444,-93.0933,75.76,87,0,8.05,US,1659790365
jequie,-13.8575,-40.0836,79.86,51,49,3.83,BR,1659790366
taguatinga,-12.3857,-46.5711,90.05,27,5,7.38,BR,1659790367
shebunino,46.4339,141.8603,59.47,92,100,7.92,RU,1659790367
kargil,34.5667,76.1,65.48,49,94,5.48,IN,1659790368
acajutla,13.5928,-89.8275,78.1,79,98,5.23,SV,1659790369
harlingen,26.1906,-97.6961,81.9,96,31,6.15,US,1659790348
moerai,-22.4333,-151.3333,70.59,66,100,21.99,PF,1659790371
